Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm),
Abdalla Hafez,https://cdn.filepicker.io/IZlZhUUQA2PMnb7hmGuW,Egypt,https://www.psasquashtour.com/player/abdalla-hafez/,2024-10-21,"Mohandseen, Egypt",,192,
Abdelrahman Nassar,https://cdn.filepicker.io/hx68Y3ofS8WCF59pttad,Egypt,https://www.psasquashtour.com/player/abdelrahman-nassar/,2002-04-30,"Cairo, Egypt",Dunlop,181,
Abdulla Al Tamimi,https://www.psasquashtour.com/wp-content/uploads/2023/11/abdullah-Al-Tamimi-copy-1024x1024.png,Qatar,https://www.psasquashtour.com/player/abdulla-al-tamimi/,1994-12-15,"Doha, Qatar",Harrow,170,
Abhay Singh,https://www.psasquashtour.com/wp-content/uploads/2024/08/10-1-1024x1024.png,India,https://www.psasquashtour.com/player/abhay-singh/,1998-09-03,"Chennai, India",Head,183,
Addeen Idrakie,https://cdn.filestackcontent.com/4iYvPr85Tla9RZ5op1YY,Malaysia,https://www.psasquashtour.com/player/addeen-idrakie/,1994-01-05,"Kuala Lumpur, Malaysia",,165,
Adegoke Onaopemipo,https://cdn.filepicker.io/jdjwe2ZgRJOLs1XJOJhO,Nigeria,https://www.psasquashtour.com/player/adegoke-onaopemipo/,1999-09-25,"Lagos, Nigeria",Shahtoosh,188,
Adrian Waller,https://www.psasquashtour.com/wp-content/uploads/2023/11/KU8eEEkg.png,England,https://www.psasquashtour.com/player/adrian-waller/,1989-12-26,"London, England",Black Knight,192,
Ahsan Ayaz,https://cdn.filepicker.io/KJ7WZcIeSDWgdP8fEkRw,Pakistan,https://www.psasquashtour.com/player/ahsan-ayaz/,1998-10-05,"Peshawar, Pakistan",,176,
Alejandro Enriquez,https://cdn.filestackcontent.com/bFY75b0QkOWhGDBBbgdA,Guatemala,https://www.psasquashtour.com/player/alejandro-enriquez/,2000-01-17,"Guatemala, Guatemala",Dunlop,169,
Alejandro Reyes,https://cdn.filestackcontent.com/zNDWN5WtQhmuu4BjeeHa,Mexico,https://www.psasquashtour.com/player/alejandro-reyes/,1996-08-07,"Puebla, Mexico",Harrow,179,
Alex Lau,https://www.squashinfo.com/img/players/LauTszKwan_Feb19a8.jpg,Hong Kong,https://www.psasquashtour.com/player/alex-lau/,,"Hong Kong, Hong Kong",Tecnifibre,170,
Alfredo Avila Vergara,https://cdn.filepicker.io/ufNCSm6PSHaWLfLZeCLt,Mexico,https://www.psasquashtour.com/player/alfredo-avila-vergara/,1991-06-17,"Mexico City, Mexico",Oliver,168,
Ali Farag,https://www.psasquashtour.com/wp-content/uploads/2023/11/p9wIq5CA-1024x1024.png,Egypt,https://www.psasquashtour.com/player/ali-farag/,1992-04-22,"Cairo, Egypt",Dunlop,182,
Alvaro Buenaño,https://cdn.filestackcontent.com/soItsHiOT42Ujc1pswJj,Ecuador,https://www.psasquashtour.com/player/alvaro-buenaño/,1999-05-28,"Ambato, Ecuador",Tecnifibre,174,
Aly Abou Eleinen,https://www.psasquashtour.com/wp-content/uploads/2024/04/aly-abou-eleinen-1080-1024x1024.png,Egypt,https://www.psasquashtour.com/player/aly-abou-eleinen/,2000-01-01,"Alexandria, Egypt",Dunlop,176,
