Frequency ,Date,Rank,Player,Source
Monthly,2017-01-01,1,Mohamed Elshorbagy,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,2,Karim Gawad,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,3,Gregory Gaultier,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,4,Nick Matthew,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,5,Ramy Ashour,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,6,Marwan Elshorbagy,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,7,Ali Farag,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,8,Tarek Momen,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,9,Omar Mosaad,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,10,Simon Rosner,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,11,James Willstrop,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,12,Fares Dessouky,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,13,Mathieu Castagnet,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,14,Miguel Rodriguez,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,15,Daryl Selby,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,16,Borja Golan,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,17,Max Lee,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,18,Cameron Pilley,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,19,Ryan Cuskelly,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-01-01,20,Paul Coll,https://www.worldsquash.org/jan-2017-world-rankings/
Monthly,2017-02-01,1,Mohamed Elshorbagy,https://www.worldsquash.org/february-world-rankings/
