Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
CIB Egyptian Open 2024,Men's,06 Sep 2024 • 19:45,Final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Men's,05 Sep 2024 • 19:45,Semi final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Men's,05 Sep 2024 • 21:15,Semi final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Men's,03 Sep 2024 • 19:45,Quarter final,Ali Farag,Mazen Hesham,"---, ---, ---, ---, ---, ---",Mazen Hesham
CIB Egyptian Open 2024,Men's,03 Sep 2024 • 21:15,Quarter final,Tarek Momen,Diego Elias,"---, ---, ---, ---, ---, ---",Diego Elias
CIB Egyptian Open 2024,Men's,04 Sep 2024 • 21:15,Quarter final,Mostafa Asal,Mohamed Elshorbagy,"---, ---, ---, ---, ---, ---",Mohamed Elshorbagy
CIB Egyptian Open 2024,Men's,04 Sep 2024 • 19:45,Quarter final,Marwan Elshorbagy,Paul Coll,"---, ---, ---, ---, ---, ---",Paul Coll
CIB Egyptian Open 2024,Men's,01 Sep 2024 • 19:45,Round 3,Ali Farag,Nicolas Mueller,"3-1, 6-11, 11-6, 11-7, 11-6, ---",Ali Farag
CIB Egyptian Open 2024,Men's,01 Sep 2024 • 14:45,Round 3,Aly Abou Eleinen,Mazen Hesham,"1-3, 11-3, 8-11, 5-11, 9-11, ---",Mazen Hesham
CIB Egyptian Open 2024,Men's,01 Sep 2024 • 13:15,Round 3,Tarek Momen,Fares Dessouky,"3-2, 11-9, 11-9, 10-12, 10-12, 11-8",Tarek Momen
CIB Egyptian Open 2024,Men's,01 Sep 2024 • 21:15,Round 3,Gregoire Marche,Diego Elias,"0-3, 3-11, 4-11, 1-11, ---, ---",Diego Elias
CIB Egyptian Open 2024,Men's,02 Sep 2024 • 21:15,Round 3,Mostafa Asal,Youssef Soliman,"1-1, 2-1, ---, ---, ---, ---",Mostafa Asal
CIB Egyptian Open 2024,Men's,02 Sep 2024 • 14:45,Round 3,Ramit Tandon,Mohamed Elshorbagy,"0-3, 8-11, 10-12, 9-11, ---, ---",Mohamed Elshorbagy
CIB Egyptian Open 2024,Men's,02 Sep 2024 • 13:15,Round 3,Marwan Elshorbagy,Victor Crouin,"3-1, 11-7, 11-8, 10-12, 11-6, ---",Marwan Elshorbagy
CIB Egyptian Open 2024,Men's,02 Sep 2024 • 19:45,Round 3,Eain Yow Ng,Paul Coll,"0-3, 5-11, 6-11, 2-11, ---, ---",Paul Coll
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 14:15,Round 2,Ali Farag,Curtis Malik,"3-0, 12-10, 11-7, 11-8, ---, ---",Ali Farag
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 12:45,Round 2,Nicolas Mueller,Abdulla Al-Tamimi,"3-2, 11-7, 11-7, 2-11, 3-11, 11-5",Nicolas Mueller
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 12:45,Round 2,Dimitri Steinmann,Aly Abou Eleinen,"RET-, 9-11, 1-11, 0-0, ---, ---",Aly Abou Eleinen
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 14:15,Round 2,Karim El Hammamy,Mazen Hesham,"1-3, 5-11, 12-10, 7-11, 11-13, ---",Mazen Hesham
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 12:45,Round 2,Tarek Momen,Leonel Cardenas,"3-1, 5-11, 11-9, 11-9, 11-7, ---",Tarek Momen
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 12:45,Round 2,Fares Dessouky,Juan Vargas,"3-0, 11-6, 11-4, 11-6, ---, ---",Fares Dessouky
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 14:15,Round 2,Sebastien Bonmalais,Gregoire Marche,"RET-, 11-4, 7-11, 9-11, 0-4, ---",Gregoire Marche
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 14:15,Round 2,Miguel Rodriguez,Diego Elias,"0-3, 6-11, 6-11, 9-11, ---, ---",Diego Elias
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 16:45,Round 2,Mostafa Asal,Joel Makin,"3-0, 11-8, 11-7, 11-7, ---, ---",Mostafa Asal
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 16:45,Round 2,Youssef Ibrahim,Youssef Soliman,"1-3, 3-11, 11-6, 3-11, 7-11, ---",Youssef Soliman
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 18:15,Round 2,Mohamed ElSherbini,Ramit Tandon,"0-3, 5-11, 4-11, 8-11, ---, ---",Ramit Tandon
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 18:15,Round 2,Nathan Lake,Mohamed Elshorbagy,"1-3, 14-12, 5-11, 6-11, 5-11, ---",Mohamed Elshorbagy
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 16:45,Round 2,Karim Gawad,Marwan Elshorbagy,"2-3, 11-8, 11-5, 6-11, 2-11, 7-11",Marwan Elshorbagy
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 18:15,Round 2,Victor Crouin,Mohamad Zakaria,"3-2, 11-8, 9-11, 5-11, 11-6, 11-3",Victor Crouin
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 18:15,Round 2,Iker Pajares,Eain Yow Ng,"0-3, 9-11, 7-11, 5-11, ---, ---",Eain Yow Ng
