Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm)
Aifa Azman,https://www.psasquashtour.com/wp-content/uploads/2023/11/UjyIoY4w.png,Malaysia,https://www.psasquashtour.com/player/aifa-azman/,2001-12-18,"Kedsh, Malaysia",Dunlop,162
Ainaa Amani,https://cdn.filestackcontent.com/xfKY2NLBTrw5vfX92bdA,Malaysia,https://www.psasquashtour.com/player/ainaa-amani/,2002-03-18,"Kuala Lumpur, Malaysia",Dunlop,165
Aira Azman,https://www.psasquashtour.com/wp-content/uploads/2023/12/aira-azman-copy-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/aira-azman/,2004-09-29,"Kedah, Malaysia",Dunlop,167
Akanksha Salunkhe,https://cdn.filestackcontent.com/CcMY8yu2THaGpJx5XPGk,India,https://www.psasquashtour.com/player/akanksha-salunkhe/,1999-01-24,"Sataria, India",Harrow,152
Akari Midorikawa,https://cdn.filepicker.io/sJrU3kzAQ1CHN3v3w6Sv,Japan,https://www.psasquashtour.com/player/akari-midorikawa/,2005-08-15,"Chiba, Japan",Tecnifibre,151
Alex Haydon,https://www.psasquashtour.com/wp-content/uploads/2024/08/24-1-1024x1024.png,Australia,https://www.psasquashtour.com/player/alex-haydon/,2001-07-25,"Clare Valley, Australia",Dunlop,170
Alexandra Fuller,https://www.psasquashtour.com/wp-content/uploads/2023/11/8ME-K4no-1024x1024.png,South Africa,https://www.psasquashtour.com/player/alexandra-fuller/,1993-08-24,"Cape Town, South Africa",Head,168
Ali Loke,https://cdn.filestackcontent.com/1izGQNkySmWsLZy4IAJR,Wales,https://www.psasquashtour.com/player/ali-loke/,1993-05-26,"London, England",Karakal,170
Alicia Mead,https://www.psasquashtour.com/wp-content/uploads/2024/08/35-1024x1024.png,England,https://www.psasquashtour.com/player/alicia-mead/,1995-10-23,"Nuneaton, England",Ashaway,162
Alina Bushma,https://cdn.filestackcontent.com/PhvheGSdRLPQyHPzGB4A,Ukraine,https://www.psasquashtour.com/player/alina-bushma/,2000-12-06,"Kiev, Ukraine",Harrow,166
Alison Thomson,https://cdn.filestackcontent.com/FHXRA1UyRQO6vYLzTVeQ,Scotland,https://www.psasquashtour.com/player/alison-thomson/,1996-05-03,"Twickenham, England",Karakal,168
