Frequency ,Date,Rank,Player,Source,
Monthly,2017-01-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Player
Monthly,2017-01-01,2,Nouran Gohar,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Nour El Sherbini
Monthly,2017-01-01,3,Raneem El Welily,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Nouran Gohar
Monthly,2017-01-01,4,Camille Serme,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Raneem El Welily
Monthly,2017-01-01,5,Laura Massaro,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Camille Serme
Monthly,2017-01-01,6,Amanda Sobhy,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Laura Massaro
Monthly,2017-01-01,7,Nicol David,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Amanda Sobhy
Monthly,2017-01-01,8,Alison Waters,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Nicol David
Monthly,2017-01-01,9,Omneya Abdel Kawy,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Alison Waters
Monthly,2017-01-01,10,Joelle King,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Omneya Abdel Kawy
Monthly,2017-01-01,11,Sarah-Jane Perry,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Joelle King
Monthly,2017-01-01,12,Annie Au,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Sarah-Jane Perry
Monthly,2017-01-01,13,Joshna Chinappa,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Annie Au
Monthly,2017-01-01,14,Emily Whitlock,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Joshna Chinappa
Monthly,2017-01-01,15,Nour El Tayeb,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Emily Whitlock
Monthly,2017-01-01,16,Victoria Lust,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Nour El Tayeb
Monthly,2017-01-01,17,Delia Arnold,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Victoria Lust
Monthly,2017-01-01,18,Joey Chan,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Delia Arnold
Monthly,2017-01-01,19,Donna Lobban,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Joey Chan
Monthly,2017-01-01,20,Tesni Murphy,https://www.psasquashtour.com/news/evans-breaks-top-20-as-gohar-starts-2017-at-no-2-in-january-rankings/,Donna Lobban
Monthly,2017-02-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Tesni Murphy
Monthly,2017-02-01,2,Camille Serme,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Salma Hany
Monthly,2017-02-01,3,Raneem El Welily,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Olivia Clyne
Monthly,2017-02-01,4,Nouran Gohar,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Dipika Pallikal Karthik
Monthly,2017-02-01,5,Laura Massaro,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Mariam Metwally
Monthly,2017-02-01,6,Amanda Sobhy,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Hania El Hammamy
Monthly,2017-02-01,7,Nicol David,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Yathreb Adel
Monthly,2017-02-01,8,Sarah-Jane Perry,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Nele Gilis
Monthly,2017-02-01,9,Omneya Abdel Kawy,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Millie Tomlinson
Monthly,2017-02-01,10,Alison Waters,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Nele Gilia
Monthly,2017-02-01,11,Joelle King,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Zeina Mickawy
Monthly,2017-02-01,12,Annie Au,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Nele Coll
Monthly,2017-02-01,13,Nour El Tayeb,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Rowan Elaraby
Monthly,2017-02-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Nadine Shahin
Monthly,2017-02-01,15,Emily Whitlock,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Tinne Gilis
Monthly,2017-02-01,16,Victoria Lust,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Nada Abbas
Monthly,2017-02-01,17,Joey Chan,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Coline Aumard
Monthly,2017-02-01,18,Donna Lobban,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Hollie Naughton
Monthly,2017-02-01,19,Delia Arnold,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Sabrina Sobhy
Monthly,2017-02-01,20,Salma Hany,https://www.psasquashtour.com/news/serme-secures-career-high-no-2-position-in-february-rankings/,Olivia Weaver
Monthly,2017-03-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Danielle Letourneau
Monthly,2017-03-01,2,Camille Serme,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Melissa Alves
Monthly,2017-03-01,3,Raneem El Welily,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Georgina Kennedy
Monthly,2017-03-01,4,Nouran Gohar,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Lucy Turmel
Monthly,2017-03-01,5,Laura Massaro,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Farida Mohamed
Monthly,2017-03-01,6,Amanda Sobhy,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Sivasangari Subramaniam
Monthly,2017-03-01,7,Nicol David,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Hania El Hammamy 
Monthly,2017-03-01,8,Sarah-Jane Perry,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Hollie Naughton 
Monthly,2017-03-01,9,Omneya Abdel Kawy,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Jasmine Hutton
Monthly,2017-03-01,10,Alison Waters,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Satomi Watanabe
Monthly,2017-03-01,11,Joelle King,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Amina Orfi
Monthly,2017-03-01,12,Annie Au,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Nour El Sherbini 
Monthly,2017-03-01,13,Nour El Tayeb,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Fayrouz Aboelkheir
Monthly,2017-03-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Nouran Gohar 
Monthly,2017-03-01,15,Emily Whitlock,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Salma Hany 
Monthly,2017-03-01,16,Victoria Lust,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Sana Ibrahim
Monthly,2017-03-01,17,Joey Chan,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Rachel Arnold
Monthly,2017-03-01,18,Donna Lobban,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,Jasmine Hutton 
Monthly,2017-03-01,19,Tesni Murphy,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,
Monthly,2017-03-01,20,Salma Hany,https://www.psasquashtour.com/news/evans-returns-to-top-20-after-women-s-march-rankings-are-released/,
Monthly,2017-04-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,2,Laura Massaro,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,3,Camille Serme,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,4,Raneem El Welily,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,5,Nouran Gohar,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,6,Nicol David,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,7,Amanda Sobhy,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,8,Sarah-Jane Perry,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,9,Alison Waters,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,10,Joelle King,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,11,Annie Au,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,12,Nour El Tayeb,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,13,Emily Whitlock,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,15,Omneya Abdel Kawy,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,16,Victoria Lust,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,17,Donna Lobban,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,18,Tesni Murphy,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,19,Olivia Clyne,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-04-01,20,Joey Chan,https://www.psasquashtour.com/news/massaro-rises-to-world-no-2-in-april-women-s-rankings/,
Monthly,2017-05-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,2,Raneem El Welily,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,3,Camille Serme,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,4,Laura Massaro,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,5,Nouran Gohar,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,6,Nicol David,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,7,Sarah-Jane Perry,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,8,Amanda Sobhy,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,9,Alison Waters,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,10,Joelle King,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,11,Annie Au,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,12,Nour El Tayeb,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,13,Emily Whitlock,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,15,Victoria Lust,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,16,Tesni Murphy,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,17,Olivia Clyne,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,18,Donna Lobban,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,19,Joey Chan,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-05-01,20,Salma Hany,https://www.psasquashtour.com/news/el-welily-returns-to-world-no-2-in-women-s-may-rankings/,
Monthly,2017-06-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,2,Raneem El Welily,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,3,Camille Serme,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,4,Laura Massaro,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,5,Nouran Gohar,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,6,Nicol David,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,7,Sarah-Jane Perry,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,8,Amanda Sobhy,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,9,Alison Waters,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,10,Annie Au,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,11,Nour El Tayeb,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,12,Joelle King,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,13,Emily Whitlock,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,15,Victoria Lust,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,16,Tesni Murphy,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,17,Olivia Clyne,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,18,Donna Lobban,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,19,Joey Chan,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-06-01,20,Salma Hany,https://www.psasquashtour.com/news/el-sherbini-stays-at-world-no-1-for-14th-successive-month/,
Monthly,2017-07-01,1,Nour El Sherbini,https://x.com/harrow_squash,
Monthly,2017-07-01,2,Raneem El Welily,https://x.com/harrow_squash,
Monthly,2017-07-01,3,Camille Serme,https://x.com/harrow_squash,
Monthly,2017-07-01,4,Laura Massaro,https://x.com/harrow_squash,
Monthly,2017-07-01,5,Nouran Gohar,https://x.com/harrow_squash,
Monthly,2017-07-01,6,Nicol David,https://x.com/harrow_squash,
Monthly,2017-07-01,7,Sarah-Jane Perry,https://x.com/harrow_squash,
Monthly,2017-07-01,8,Amanda Sobhy,https://x.com/harrow_squash,
Monthly,2017-07-01,9,Alison Waters,https://x.com/harrow_squash,
Monthly,2017-07-01,10,Annie Au,https://x.com/harrow_squash,
Monthly,2017-07-01,11,Nour El Tayeb,https://x.com/harrow_squash,
Monthly,2017-07-01,12,Joelle King,https://x.com/harrow_squash,
Monthly,2017-07-01,13,Emily Whitlock,https://x.com/harrow_squash,
Monthly,2017-07-01,14,Joshna Chinappa,https://x.com/harrow_squash,
